depth,C14_age,C14_error,event,cc
0,-75,1,sample,0
7,141,22,sample,1
7,,,synchronous,
13,,,isochron1,
29,,,synchronous,
50,,,synchronous,
62,933,23,sample,1
68,,,non-synchronous,
71,,,non-synchronous,
72,,,synchronous,
84,,,isochron2,
93,,,synchronous,
112,1585,48,sample,1
115,,,synchro-test,
136,,,synchronous,
141,,,non-synchronous,
153,2109,28,sample,1
156,,,isochron3,
158,,,synchronous,
172,2266,32,sample,1
179,,,synchronous,
188,2509,44,sample,1
195,,,non-synchronous,
201,,,synchronous,
205,2710,32,sample,1
222,,,non-synchronous,
222,,,synchronous,
227,,,isochron4,
244,,,synchronous,
257,,,non-synchronous,
263,3384,35,sample,1
265,,,synchronous,
278,3472,38,sample,1
287,,,synchronous,
299,,,isochron5,
308,,,synchronous,
314,,,non-synchronous,
330,,,synchronous,
341,4132,46,sample,1
351,,,synchronous,
371,,,isochron6,
372,,,non-synchronous,
372,4482,22,sample,1
373,,,synchronous,
391,4670,26,sample,1
394,,,synchronous,
398,,,non-synchronous,
416,,,synchronous,
428,5103,49,sample,1
437,,,synchronous,
442,,,isochron7,
443,,,non-synchronous,
459,,,synchronous,
470,,,non-synchronous,
480,,,synchronous,
487,5881,34,sample,1
